epoch,train_loss_all,train_acc_all,val_loss_all,val_acc_all
0,0.580217270374298,0.7345555555555555,0.5618193001025107,0.7526813880126183
1,0.5761942995919122,0.7386666666666667,0.5603798005295101,0.7545741324921136
2,0.5739115881390042,0.7395555555555555,0.5628245381902821,0.7539432176656151
3,0.5127383773591784,0.7718888888888888,0.3720190552506913,0.8643533123028391
4,0.3047481549448437,0.8918888888888888,0.2682872605624635,0.9116719242902208
5,0.22158822059631347,0.9272222222222222,0.22392221696745335,0.9242902208201893
6,0.16657842942078907,0.9498888888888889,0.20880002176347967,0.934384858044164
7,0.14216180111964544,0.9597777777777777,0.18398186373597816,0.9406940063091482
8,0.12106949992312326,0.9664444444444444,0.192984220347946,0.9451104100946373
9,0.10572226524353028,0.9705555555555555,0.16520885123815446,0.9520504731861199
10,0.09043663813008203,0.9767777777777777,0.15659770972157128,0.9570977917981073
11,0.07991663883129756,0.9792222222222222,0.15538263594972598,0.9583596214511041
12,0.06861381439202362,0.9826666666666667,0.16709179132706736,0.9558359621451105
13,0.06470453302727805,0.9822222222222222,0.14720787216530237,0.9589905362776026
14,0.058105337768793106,0.9844444444444445,0.15791740869686055,0.9577287066246056
15,0.06126025041275554,0.9827777777777778,0.1634388748967685,0.9570977917981073
16,0.047620033436765276,0.9867777777777778,0.14443462424755849,0.9640378548895899
17,0.04124262332253986,0.9887777777777778,0.15319372999044106,0.9577287066246056
18,0.037954493855436644,0.99,0.1489702136640669,0.9539432176656152
19,0.04158629099527995,0.9884444444444445,0.15058502406998295,0.9583596214511041
